date,yearday,plot,count,grid letter,grid number,tree spec,tree rep,number lep,lep species,lep length,lepbio mass(mg)
6/9/86,160,3,2,C,7.5,2,1,1,2,10,1.75
6/9/86,160,3,2,C,8.5,1,2,1,2,12,2.83
6/9/86,160,3,2,C,10.5,1,1,1,2,10,1.75
6/9/86,160,3,2,D,4.5,1,1,1,4,4,0.16
6/9/86,160,3,2,D,4.5,1,2,1,3,28,26.46
6/9/86,160,3,2,D,6.5,1,2,1,2,11,2.25
6/9/86,160,3,2,D,6.5,1,2,1,3,13,3.49
6/9/86,160,3,2,D,7.5,1,2,1,3,24,17.61
6/9/86,160,3,2,D,7.5,2,2,1,2,18,8.24
6/9/86,160,3,2,D,9.5,1,2,1,3,6,0.45
6/9/86,160,3,2,D,9.5,1,2,1,3,12,2.83
6/9/86,160,3,2,D,10.5,1,2,1,3,15,5.09
6/10/86,161,1,2,A,3.5,2,1,1,3,10,1.75
6/10/86,161,1,2,A,3.5,2,1,1,2,15,5.09
6/10/86,161,1,2,A,5.5,2,1,1,6,4,0.16
6/10/86,161,1,2,A,5.5,2,1,1,3,15,5.09
6/10/86,161,1,2,A,6.5,1,1,1,6,4,0.16
6/10/86,161,1,2,A,8.5,1,1,1,3,10,1.75
6/10/86,161,1,2,A,8.5,1,2,1,6,2,0.02
6/10/86,161,1,2,B,1.5,1,1,1,3,8,0.97
6/10/86,161,1,2,B,4.5,2,1,1,3,10,1.75
6/10/86,161,1,2,C,4.5,2,2,1,2,11,2.25
6/10/86,161,1,2,C,8.5,2,1,1,3,15,5.09
6/10/86,161,1,2,C,8.5,2,2,1,2,27,24.04
6/10/86,161,1,2,D,3.5,1,1,1,2,10,1.75
6/10/86,161,1,2,D,4.5,2,2,1,3,6,0.45
6/10/86,161,1,2,D,4.5,2,2,1,2,10,1.75
6/10/86,161,1,2,D,7.5,2,1,1,2,10,1.75
6/10/86,161,1,2,D,10.5,1,2,1,3,12,2.83
6/10/86,161,4,2,A,4.5,1,2,1,6,6,0.45
6/10/86,161,4,2,A,5.5,1,1,1,5,8,0.97
6/10/86,161,4,2,A,6.5,1,2,1,2,8,0.97
6/10/86,161,4,2,A,7.5,2,2,1,2,12,2.83
6/10/86,161,4,2,B,1.5,1,2,1,5,6,0.45
6/10/86,161,4,2,B,3.5,1,1,1,2,8,0.97
6/10/86,161,4,2,B,5.5,2,2,1,2,26,21.76
6/10/86,161,4,2,C,2.5,1,2,1,2,12,2.83
6/10/86,161,4,2,C,6.5,1,1,1,2,7,0.68
6/24/86,175,1,3,A,1.5,1,2,1,2,40,67.84
6/24/86,175,1,3,A,1.5,2,2,1,6,2,0.02
6/24/86,175,1,3,A,5.5,2,1,1,2,5,0.28
6/24/86,175,1,3,A,5.5,2,2,1,2,6,0.45
6/24/86,175,1,3,A,5.5,2,2,1,6,7,0.68
6/24/86,175,1,3,A,9.5,1,1,1,4,5,0.28
6/24/86,175,1,3,A,9.5,2,2,1,4,5,0.28
6/24/86,175,1,3,A,10.5,1,2,1,5,4,0.16
6/24/86,175,1,3,B,2.5,1,1,1,2,4,0.16
6/24/86,175,1,3,B,3.5,1,2,1,2,3,0.07
6/24/86,175,1,3,B,3.5,2,1,1,3,22,14
6/24/86,175,1,3,B,3.5,2,1,1,2,6,0.45
6/24/86,175,1,3,B,4.5,1,2,1,4,6,0.45
6/24/86,175,1,3,B,4.5,2,1,1,2,10,1.75
6/24/86,175,1,3,B,4.5,2,1,1,2,15,5.09
6/24/86,175,1,3,B,8.5,2,2,1,3,3,0.07
6/24/86,175,1,3,B,10.5,2,1,1,3,22,14
6/24/86,175,1,3,B,10.5,2,1,1,4,5,0.28
6/24/86,175,1,3,C,1.5,1,2,1,2,27,24.04
6/24/86,175,1,3,C,10.5,1,2,1,2,11,2.25
6/24/86,175,1,3,C,10.5,2,2,1,2,4,0.16
6/24/86,175,1,3,D,1.5,1,1,1,2,10,1.75
6/24/86,175,1,3,D,4.5,1,2,1,5,3,0.07
6/24/86,175,1,3,D,4.5,2,2,1,2,14,4.24
6/24/86,175,1,3,D,9.5,2,1,1,2,6,0.45
6/24/86,175,2,3,G,3.5,1,2,1,4,4,0.16
6/24/86,175,2,3,G,9.5,2,2,1,3,18,8.24
6/24/86,175,2,3,H,2.5,2,2,1,2,10,1.75
6/24/86,175,2,3,H,4.5,2,1,1,2,3,0.07
6/24/86,175,2,3,H,10.5,2,2,1,5,3,0.07
6/24/86,175,2,3,I,7.5,1,2,1,2,10,1.75
6/24/86,175,2,3,J,5.5,1,1,1,2,14,4.24
6/24/86,175,2,3,J,5.5,2,1,1,2,10,1.75
6/24/86,175,2,3,J,5.5,2,1,1,4,3,0.07
6/24/86,175,2,3,J,9.5,2,1,1,3,23,15.74
6/24/86,175,2,3,J,10.5,2,1,1,3,3,0.07
6/24/86,175,4,3,A,2.5,1,1,1,2,14,4.24
6/24/86,175,4,3,A,2.5,2,1,1,2,13,3.49
6/24/86,175,4,3,A,4.5,2,1,1,2,16,6.04
6/24/86,175,4,3,A,6.5,1,2,1,2,5,0.28
6/24/86,175,4,3,A,8.5,1,2,1,5,5,0.28
6/24/86,175,4,3,B,2.5,1,2,1,2,22,14
6/24/86,175,4,3,B,2.5,2,2,1,5,4,0.16
6/24/86,175,4,3,B,4.5,1,2,1,5,7,0.68
6/24/86,175,4,3,B,4.5,1,2,1,2,25,19.62
6/24/86,175,4,3,B,6.5,2,1,1,3,11,2.25
6/24/86,175,4,3,B,8.5,1,2,1,4,5,0.28
6/24/86,175,4,3,C,9.5,2,2,1,2,12,2.83
6/24/86,175,4,3,D,4.5,2,1,1,4,5,0.28
6/24/86,175,4,3,D,5.5,2,2,1,3,10,1.75
6/24/86,175,4,3,D,7.5,2,1,1,2,12,2.83
6/26/86,177,3,3,A,3.5,1,1,1,2,21,12.38
6/26/86,177,3,3,A,7.5,1,1,1,3,29,29.03
6/26/86,177,3,3,B,1.5,2,1,1,3,12,2.83
6/26/86,177,3,3,B,1.5,2,2,1,6,7,0.68
6/26/86,177,3,3,B,3.5,2,1,1,5,4,0.16
6/26/86,177,3,3,B,6.5,2,1,1,3,7,0.68
6/26/86,177,3,3,B,7.5,2,2,1,4,6,0.45
6/26/86,177,3,3,C,1.5,1,2,1,2,22,14
6/26/86,177,3,3,C,7.5,2,2,1,5,2,0.02
6/26/86,177,3,3,C,9.5,2,1,1,2,20,10.88
6/26/86,177,3,3,C,10.5,2,1,1,2,20,10.88
6/26/86,177,3,3,C,10.5,2,1,1,5,3,0.07
6/26/86,177,3,3,D,1.5,1,2,1,5,3,0.07
6/26/86,177,3,3,D,1.5,2,2,1,2,6,0.45
6/26/86,177,3,3,D,3.5,2,2,1,5,4,0.16
6/26/86,177,3,3,D,4.5,2,1,1,3,15,5.09
6/26/86,177,3,3,D,4.5,2,1,1,3,18,8.24
6/26/86,177,3,3,D,5.5,1,2,1,5,3,0.07
6/26/86,177,3,3,D,5.5,2,2,1,5,10,1.75
6/26/86,177,3,3,D,7.5,1,1,1,5,3,0.07
6/26/86,177,3,3,D,9.5,1,2,1,2,5,0.28
7/9/86,190,4,4,A,2.5,1,2,1,3,4,0.16
7/9/86,190,4,4,A,6.5,2,1,1,2,10,1.75
7/9/86,190,4,4,B,1.5,1,1,1,2,15,5.09
7/9/86,190,4,4,B,1.5,2,1,1,3,5,0.28
7/9/86,190,4,4,B,4.5,1,2,1,4,5,0.28
7/9/86,190,4,4,B,7.5,1,1,1,6,10,1.75
7/9/86,190,4,4,B,10.5,2,2,1,4,10,1.75
7/9/86,190,4,4,C,3.5,2,1,1,2,25,19.62
7/9/86,190,4,4,C,7.5,1,1,1,5,4,0.16
7/9/86,190,4,4,C,7.5,1,2,1,5,4,0.16
7/9/86,190,4,4,C,8.5,2,2,1,2,10,1.75
7/9/86,190,4,4,C,9.5,2,2,1,5,10,1.75
7/9/86,190,4,4,C,9.5,2,2,1,3,12,2.83
7/9/86,190,4,4,D,1.5,2,2,1,5,15,5.09
7/9/86,190,4,4,D,2.5,1,1,1,2,15,5.09
7/9/86,190,4,4,D,6.5,1,1,1,5,5,0.28
7/9/86,190,4,4,D,6.5,1,1,1,2,15,5.09
7/9/86,190,4,4,D,7.5,1,2,1,5,6,0.45
7/9/86,190,4,4,D,7.5,2,2,1,2,15,5.09
7/9/86,190,4,4,D,9.5,1,2,1,4,10,1.75
7/9/86,190,4,4,D,9.5,2,1,1,5,2,0.02
7/10/86,191,1,4,A,1.5,1,2,1,3,7,0.68
7/10/86,191,1,4,A,3.5,1,2,1,2,8,0.97
7/10/86,191,1,4,A,3.5,2,1,1,2,16,6.04
7/10/86,191,1,4,A,4.5,1,1,1,4,5,0.28
7/10/86,191,1,4,A,5.5,1,2,1,2,15,5.09
7/10/86,191,1,4,A,8.5,1,1,1,5,8,0.97
7/10/86,191,1,4,B,1.5,1,2,1,2,5,0.28
7/10/86,191,1,4,B,2.5,1,1,1,2,4,0.16
7/10/86,191,1,4,B,4.5,1,2,1,4,6,0.45
7/10/86,191,1,4,B,8.5,2,1,1,6,8,0.97
7/10/86,191,1,4,B,8.5,2,2,1,2,6,0.45
7/10/86,191,1,4,B,10.5,2,1,1,3,5,0.28
7/10/86,191,1,4,C,2.5,1,1,1,6,8,0.97
7/10/86,191,1,4,C,3.5,2,2,1,4,8,0.97
7/10/86,191,1,4,C,6.5,2,1,1,4,8,0.97
7/10/86,191,1,4,C,9.5,2,1,1,2,4,0.16
7/10/86,191,1,4,D,1.5,2,1,1,2,6,0.45
7/10/86,191,1,4,D,1.5,2,1,1,3,10,1.75
7/10/86,191,1,4,D,4.5,1,1,1,2,19,9.51
7/10/86,191,1,4,D,5.5,1,1,1,2,18,8.24
7/10/86,191,1,4,D,5.5,1,2,1,4,3,0.07
7/10/86,191,1,4,D,5.5,2,2,1,3,6,0.45
7/10/86,191,1,4,D,6.5,1,1,1,4,12,2.83
7/10/86,191,1,4,D,6.5,1,2,1,4,8,0.97
7/10/86,191,2,4,G,2.5,1,2,1,2,15,5.09
7/10/86,191,2,4,G,2.5,1,2,1,4,3,0.07
7/10/86,191,2,4,G,2.5,1,2,1,5,2,0.02
7/10/86,191,2,4,G,4.5,1,1,1,3,8,0.97
7/10/86,191,2,4,H,6.5,1,2,1,5,2,0.02
7/10/86,191,2,4,H,6.5,2,1,1,4,6,0.45
7/10/86,191,2,4,H,7.5,2,2,1,2,13,3.49
7/10/86,191,2,4,I,3.5,2,1,1,2,5,0.28
7/10/86,191,2,4,I,10.5,1,1,1,5,2,0.02
7/10/86,191,2,4,I,10.5,1,2,1,4,10,1.75
7/10/86,191,2,4,I,10.5,1,2,1,3,20,10.88
7/10/86,191,2,4,J,1.5,1,2,1,4,10,1.75
7/10/86,191,2,4,J,4.5,2,2,1,5,6,0.45
7/10/86,191,2,4,J,8.5,1,2,1,5,3,0.07
7/10/86,191,3,4,A,8.5,1,1,1,4,13,3.49
7/10/86,191,3,4,A,8.5,2,1,1,3,15,5.09
7/10/86,191,3,4,A,9.5,1,2,1,3,12,2.83
7/10/86,191,3,4,B,1.5,2,1,1,2,17,7.09
7/10/86,191,3,4,B,1.5,2,2,1,2,7,0.68
7/10/86,191,3,4,B,2.5,2,2,1,4,7,0.68
7/10/86,191,3,4,B,6.5,2,1,1,5,8,0.97
7/10/86,191,3,4,B,9.5,2,1,1,2,14,4.24
7/10/86,191,3,4,C,3.5,2,1,1,2,20,10.88
7/10/86,191,3,4,C,3.5,2,2,1,2,7,0.68
7/10/86,191,3,4,C,5.5,2,2,1,5,4,0.16
7/10/86,191,3,4,C,6.5,2,1,1,2,25,19.62
7/10/86,191,3,4,C,7.5,1,2,1,5,5,0.28
7/10/86,191,3,4,C,7.5,2,1,1,5,5,0.28
7/10/86,191,3,4,C,9.5,2,2,1,2,12,2.83
7/10/86,191,3,4,C,10.5,1,2,1,2,12,2.83
7/10/86,191,3,4,D,4.5,1,1,1,6,3,0.07
7/10/86,191,3,4,D,5.5,1,2,1,4,5,0.28
7/10/86,191,3,4,D,5.5,1,2,1,2,16,6.04
7/10/86,191,3,4,D,6.5,1,1,1,2,20,10.88
7/10/86,191,3,4,D,6.5,1,2,1,2,15,5.09
7/10/86,191,3,4,D,7.5,1,1,1,5,4,0.16
7/10/86,191,3,4,D,8.5,2,2,1,2,20,10.88
7/10/86,191,3,4,D,9.5,1,2,1,5,6,0.45
7/10/86,191,3,4,D,10.5,2,1,1,5,3,0.07
7/21/86,202,2,5,G,1.5,2,2,1,2,11,2.25
7/21/86,202,2,5,G,5.5,1,2,1,5,4,0.16
7/21/86,202,2,5,G,9.5,2,1,1,2,12,2.83
7/21/86,202,2,5,H,7.5,1,1,1,6,8,0.97
7/21/86,202,2,5,I,1.5,2,2,1,5,3,0.07
7/21/86,202,2,5,I,4.5,1,1,1,5,6,0.45
7/21/86,202,2,5,I,4.5,2,2,1,2,12,2.83
7/21/86,202,2,5,I,5.5,1,2,1,5,3,0.07
7/21/86,202,2,5,I,5.5,1,2,1,4,2,0.02
7/21/86,202,2,5,I,5.5,1,2,1,6,3,0.07
7/21/86,202,2,5,I,5.5,2,1,1,2,14,4.24
7/21/86,202,2,5,I,5.5,2,1,1,5,3,0.07
7/21/86,202,2,5,I,8.5,2,2,1,2,21,12.38
7/21/86,202,2,5,J,4.5,1,1,1,5,6,0.45
7/21/86,202,2,5,J,4.5,2,1,1,4,6,0.45
7/21/86,202,2,5,J,6.5,1,1,1,6,6,0.45
7/21/86,202,2,5,J,6.5,1,1,1,6,7,0.68
7/21/86,202,2,5,J,8.5,1,1,1,3,11,2.25
7/21/86,202,2,5,J,9.5,2,1,1,2,28,26.46
7/21/86,202,3,5,A,2.5,1,2,1,6,4,0.16
7/21/86,202,3,5,A,3.5,2,1,1,5,4,0.16
7/21/86,202,3,5,A,3.5,2,2,1,5,4,0.16
7/21/86,202,3,5,A,7.5,2,2,1,2,14,4.24
7/21/86,202,3,5,A,8.5,1,2,1,2,22,14
7/21/86,202,3,5,A,9.5,1,2,1,4,12,2.83
7/21/86,202,3,5,A,10.5,1,1,1,2,6,0.45
7/21/86,202,3,5,A,10.5,1,1,1,5,6,0.45
7/21/86,202,3,5,B,5.5,2,1,1,4,6,0.45
7/21/86,202,3,5,B,7.5,2,2,1,2,15,5.09
7/21/86,202,3,5,B,8.5,2,1,1,2,5,0.28
7/21/86,202,3,5,B,9.5,2,1,1,2,8,0.97
7/21/86,202,3,5,B,9.5,2,1,1,2,12,2.83
7/21/86,202,3,5,C,4.5,2,1,1,3,30,31.74
7/21/86,202,3,5,D,2.5,1,2,1,6,6,0.45
7/21/86,202,3,5,D,2.5,2,1,1,2,5,0.28
7/21/86,202,3,5,D,3.5,1,2,1,2,20,10.88
7/21/86,202,3,5,D,4.5,1,2,1,5,5,0.28
7/21/86,202,3,5,D,4.5,2,1,1,5,5,0.28
7/21/86,202,3,5,D,4.5,2,1,1,3,5,0.28
7/21/86,202,3,5,D,4.5,2,2,1,2,20,10.88
7/21/86,202,3,5,D,6.5,1,2,1,5,22,14
7/21/86,202,3,5,D,6.5,2,1,1,6,3,0.07
7/21/86,202,3,5,D,9.5,1,1,1,6,6,0.45
7/22/86,203,1,5,A,6.5,1,1,1,4,5,0.28
7/22/86,203,1,5,B,4.5,2,1,1,6,7,0.68
7/22/86,203,1,5,B,5.5,1,2,1,3,11,2.25
7/22/86,203,1,5,B,5.5,1,2,1,3,11,2.25
7/22/86,203,1,5,B,8.5,1,2,1,5,11,2.25
7/22/86,203,1,5,B,9.5,2,1,1,4,7,0.68
7/22/86,203,1,5,C,1.5,2,2,1,2,10,1.75
7/22/86,203,1,5,C,2.5,1,1,1,2,5,0.28
7/22/86,203,1,5,C,3.5,2,2,1,5,10,1.75
7/22/86,203,1,5,C,4.5,1,2,1,5,3,0.07
7/22/86,203,1,5,C,4.5,1,2,1,4,6,0.45
7/22/86,203,1,5,C,6.5,1,2,1,2,8,0.97
7/22/86,203,1,5,C,10.5,1,1,1,2,7,0.68
7/22/86,203,1,5,D,3.5,1,1,1,5,4,0.16
7/22/86,203,1,5,D,7.5,2,2,1,4,5,0.28
7/22/86,203,1,5,D,8.5,2,1,1,6,10,1.75
7/22/86,203,1,5,D,8.5,2,1,1,2,1,0
7/22/86,203,4,5,A,1.5,2,2,1,2,14,4.24
7/22/86,203,4,5,A,4.5,1,1,1,2,17,7.09
7/22/86,203,4,5,A,4.5,2,1,1,2,4,0.16
7/22/86,203,4,5,A,5.5,1,1,1,6,4,0.16
7/22/86,203,4,5,A,6.5,2,2,1,4,13,3.49
7/22/86,203,4,5,A,10.5,1,2,1,4,6,0.45
7/22/86,203,4,5,B,1.5,1,2,1,4,13,3.49
7/22/86,203,4,5,B,1.5,1,2,1,5,2,0.02
7/22/86,203,4,5,B,3.5,2,1,1,5,4,0.16
7/22/86,203,4,5,B,5.5,2,1,1,2,16,6.04
7/22/86,203,4,5,B,7.5,2,2,1,3,23,15.74
7/22/86,203,4,5,B,8.5,1,1,1,3,12,2.83
7/22/86,203,4,5,B,8.5,2,1,1,4,12,2.83
7/22/86,203,4,5,B,8.5,2,2,1,4,20,10.88
7/22/86,203,4,5,B,8.5,2,2,1,2,6,0.45
7/22/86,203,4,5,B,9.5,1,1,1,2,13,3.49
7/22/86,203,4,5,B,9.5,1,1,2,5,3,0.15
7/22/86,203,4,5,C,1.5,2,1,1,4,5,0.28
7/22/86,203,4,5,C,1.5,2,1,1,2,30,31.74
7/22/86,203,4,5,C,2.5,1,1,1,5,5,0.28
7/22/86,203,4,5,C,5.5,1,1,1,6,4,0.16
7/22/86,203,4,5,C,10.5,2,2,1,2,3,0.07
7/22/86,203,4,5,C,10.5,2,2,1,5,4,0.16
7/22/86,203,4,5,D,1.5,1,2,1,4,10,1.75
7/22/86,203,4,5,D,1.5,2,2,1,5,3,0.07
6/1/87,152,1,1,A,1.5,1,1,1,3,10,1.75
6/1/87,152,1,1,A,5.5,2,1,1,2,10,1.75
6/1/87,152,1,1,A,7.5,2,1,1,2,12,2.83
6/1/87,152,1,1,A,7.5,2,2,1,2,7,0.68
6/1/87,152,1,1,A,9.5,1,1,1,3,20,10.88
6/1/87,152,1,1,A,9.5,1,2,1,3,5,0.28
6/1/87,152,1,1,A,10.5,2,2,1,3,20,10.88
6/1/87,152,1,1,B,5.5,2,1,1,2,30,31.74
6/1/87,152,1,1,B,7.5,2,1,1,3,24,17.61
6/1/87,152,1,1,B,10.5,2,2,1,3,5,0.28
6/1/87,152,1,1,C,2.5,2,2,1,3,11,2.25
6/1/87,152,1,1,C,8.5,2,2,1,3,6,0.45
6/1/87,152,1,1,C,10.5,1,2,1,5,3,0.07
6/1/87,152,1,1,D,1.5,1,2,1,2,10,1.75
6/1/87,152,1,1,D,4.5,2,2,1,3,10,1.75
6/1/87,152,1,1,D,7.5,2,2,1,3,10,1.75
6/1/87,152,1,1,D,10.5,2,1,1,2,7,0.68
6/1/87,152,4,1,A,3.5,2,1,1,3,10,1.75
6/1/87,152,4,1,A,4.5,1,2,1,2,12,2.83
6/1/87,152,4,1,A,10.5,2,1,1,3,8,0.97
6/1/87,152,4,1,B,6.5,1,2,1,3,10,1.75
6/1/87,152,4,1,B,7.5,2,2,1,2,8,0.97
6/1/87,152,4,1,B,8.5,2,1,1,2,6,0.45
6/1/87,152,4,1,C,5.5,2,1,1,3,15,5.09
6/1/87,152,4,1,C,7.5,2,1,1,2,8,0.97
6/1/87,152,4,1,D,1.5,2,2,1,5,6,0.45
6/1/87,152,4,1,D,3.5,1,2,1,2,4,0.16
6/1/87,152,4,1,D,7.5,1,2,1,3,12,2.83
6/2/87,153,3,1,A,1.5,1,1,1,2,7,0.68
6/2/87,153,3,1,A,4.5,2,2,1,3,8,0.97
6/2/87,153,3,1,A,6.5,1,2,1,3,15,5.09
6/2/87,153,3,1,A,8.5,1,2,1,3,10,1.75
6/2/87,153,3,1,A,10.5,2,2,1,3,10,1.75
6/2/87,153,3,1,B,1.5,1,2,1,6,12,2.83
6/2/87,153,3,1,B,7.5,1,2,1,5,5,0.28
6/2/87,153,3,1,B,10.5,2,1,1,2,10,1.75
6/2/87,153,3,1,C,1.5,2,1,1,3,16,6.04
6/2/87,153,3,1,C,1.5,2,2,1,3,12,2.83
6/2/87,153,3,1,C,3.5,2,2,1,6,7,0.68
6/2/87,153,3,1,C,4.5,1,1,1,2,8,0.97
6/2/87,153,3,1,C,5.5,2,1,2,3,7,1.36
6/2/87,153,3,1,C,6.5,1,1,1,2,8,0.97
6/2/87,153,3,1,C,8.5,1,1,1,2,12,2.83
6/2/87,153,3,1,C,8.5,2,2,1,2,8,0.97
6/2/87,153,3,1,C,9.5,2,2,1,5,5,0.28
6/2/87,153,3,1,D,2.5,2,2,1,3,18,8.24
6/2/87,153,3,1,D,2.5,2,2,1,3,8,0.97
6/2/87,153,3,1,D,5.5,1,1,1,3,20,10.88
6/2/87,153,3,1,D,8.5,2,2,1,3,10,1.75
6/2/87,153,3,1,D,9.5,2,1,1,3,15,5.09
6/2/87,153,3,1,D,10.5,1,1,1,2,8,0.97
6/5/87,156,2,1,G,1.5,2,1,1,2,20,10.88
6/5/87,156,2,1,G,7.5,2,1,1,3,10,1.75
6/5/87,156,2,1,G,8.5,1,2,1,2,17,7.09
6/5/87,156,2,1,G,9.5,2,2,1,2,20,10.88
6/5/87,156,2,1,G,10.5,2,2,1,3,23,15.74
6/5/87,156,2,1,I,8.5,2,1,1,5,10,1.75
6/5/87,156,2,1,I,8.5,2,2,1,3,7,0.68
6/5/87,156,2,1,J,3.5,1,1,1,3,15,5.09
6/5/87,156,2,1,J,5.5,1,2,2,3,20,21.77
6/5/87,156,2,1,J,7.5,1,1,1,3,5,0.28
6/5/87,156,2,1,J,7.5,1,2,1,3,25,19.62
6/5/87,156,2,1,J,7.5,2,2,1,3,10,1.75
6/15/87,166,1,2,A,8.5,2,2,1,2,15,5.09
6/15/87,166,1,2,A,10.5,1,2,1,3,10,1.75
6/15/87,166,1,2,A,10.5,2,1,1,3,15,5.09
6/15/87,166,1,2,B,1.5,1,1,1,2,8,0.97
6/15/87,166,1,2,B,1.5,2,2,1,2,18,8.24
6/15/87,166,1,2,B,5.5,1,1,1,2,18,8.24
6/15/87,166,1,2,B,5.5,2,2,1,2,20,10.88
6/15/87,166,1,2,C,4.5,1,1,1,3,20,10.88
6/15/87,166,1,2,C,4.5,2,1,1,2,7,0.68
6/15/87,166,1,2,C,6.5,1,1,1,3,20,10.88
6/15/87,166,1,2,C,10.5,2,1,1,2,10,1.75
6/15/87,166,1,2,D,6.5,2,2,1,3,33,40.83
6/15/87,166,1,2,D,7.5,1,2,1,2,30,31.74
6/15/87,166,1,2,D,7.5,2,2,1,3,35,47.69
6/15/87,166,4,2,A,2.5,2,2,1,2,7,0.68
6/15/87,166,4,2,A,9.5,1,2,1,3,8,0.97
6/15/87,166,4,2,B,7.5,2,2,1,3,32,37.64
6/15/87,166,4,2,B,8.5,2,1,1,6,12,2.83
6/15/87,166,4,2,C,6.5,2,2,1,2,30,31.74
6/15/87,166,4,2,C,9.5,2,1,1,2,5,0.28
6/15/87,166,4,2,C,10.5,1,2,1,2,9,1.32
6/15/87,166,4,2,D,1.5,2,2,1,5,5,0.28
6/15/87,166,4,2,D,2.5,2,2,1,3,20,10.88
6/15/87,166,4,2,D,3.5,2,1,1,2,5,0.28
6/15/87,166,4,2,D,4.5,2,1,1,2,10,1.75
6/15/87,166,4,2,D,7.5,1,2,1,2,7,0.68
6/16/87,167,2,2,G,3.5,2,1,1,2,20,10.88
6/16/87,167,2,2,G,3.5,2,2,1,2,12,2.83
6/16/87,167,2,2,G,3.5,2,2,1,4,5,0.28
6/16/87,167,2,2,G,6.5,1,1,1,2,10,1.75
6/16/87,167,2,2,G,7.5,2,1,1,2,27,24.04
6/16/87,167,2,2,G,7.5,2,1,1,2,10,1.75
6/16/87,167,2,2,G,7.5,2,2,1,2,3,0.07
6/16/87,167,2,2,G,8.5,1,2,1,2,10,1.75
6/16/87,167,2,2,G,8.5,2,2,1,2,10,1.75
6/16/87,167,2,2,H,1.5,1,1,1,3,27,24.04
6/16/87,167,2,2,H,6.5,2,2,2,3,17,14.17
6/16/87,167,2,2,I,3.5,2,2,1,2,20,10.88
6/16/87,167,2,2,I,4.5,2,2,1,3,25,19.62
6/16/87,167,2,2,I,5.5,1,2,1,3,25,19.62
6/16/87,167,2,2,I,10.5,1,2,1,2,17,7.09
6/16/87,167,2,2,J,2.5,2,1,1,3,25,19.62
6/16/87,167,2,2,J,8.5,1,1,1,3,7,0.68
6/16/87,167,3,2,A,1.5,1,2,1,3,23,15.74
6/16/87,167,3,2,A,6.5,2,1,1,3,20,10.88
6/16/87,167,3,2,A,9.5,2,1,1,2,10,1.75
6/16/87,167,3,2,B,5.5,1,2,1,2,11,2.25
6/16/87,167,3,2,B,6.5,2,2,2,3,10,3.49
6/16/87,167,3,2,B,7.5,1,2,1,3,5,0.28
6/16/87,167,3,2,B,8.5,1,1,1,3,8,0.97
6/16/87,167,3,2,B,8.5,2,1,1,3,20,10.88
6/16/87,167,3,2,B,8.5,2,1,1,3,11,2.25
6/16/87,167,3,2,B,9.5,2,1,1,3,21,12.38
