site,circle,survey,treeSp,
8892025,0,E,,
8892025,0,F,,
8892025,0,G,,
8892025,0,H,,
8892025,0,I,,
8892025,0,J,,
8892025,0,K,,
8892025,0,L,,
8892025,0,M,,
8892025,0,N,,
8892025,0,O,,
8892025,0,P,,
8892025,0,Q,,
8892025,0,R,,
8892025,1,A,,
8892025,1,B,,
8892025,1,C,,
8892025,1,D,,
8892025,1,E,,
8892025,2,A,,
8892025,2,B,,
8892025,2,C,,
8892025,2,D,,
8892025,2,E,,
8892025,3,A,,
8892025,3,B,,
8892025,3,C,,
8892025,3,D,,
8892025,3,E,,
8892025,3,F,,
8892025,4,A,,
8892025,4,B,,
8892025,4,C,,
8892025,4,D,,
8892025,4,E,,
8892025,5,A,,
8892025,5,B,,
8892025,5,C,,
8892025,5,D,,
8892025,5,E,,
8892036,0,A,,
8892036,0,B,,
8892036,0,C,,
8892036,0,D,,
8892036,0,E,,
8892036,0,F,,
8892036,0,G,,
8892036,0,H,,
8892036,0,I,,
8892036,0,J,,
8892036,0,K,,
8892036,0,L,,
8892036,0,M,,
8892036,0,N,,
8892036,0,O,,
8892036,0,P,,
8892036,0,Q,,
8892036,0,R,,
8892036,1,A,,
8892036,1,B,,
8892036,1,C,,
8892036,1,D,,
8892036,1,E,,
8892036,2,A,,
8892036,2,B,,
8892036,2,C,,
8892036,2,D,,
8892036,2,E,,
8892036,3,A,,
8892036,3,B,,
8892036,3,C,,
8892036,3,D,,
8892036,3,E,,
8892036,3,F,,
8892036,4,A,,
8892036,4,B,,
8892036,4,C,,
8892036,4,D,,
8892036,4,E,,
8892036,5,A,,
8892036,5,B,,
8892036,5,C,,
8892036,5,D,,
8892036,5,E,,
8892112,1,A,,
8892112,1,B,,
8892112,2,A,,
8892112,2,B,,
8892112,3,A,,
8892112,3,B,,
8892112,4,A,,
8892112,4,B,,
8892130,1,A,,
8892130,1,B,,
8892130,2,A,,
8892130,2,B,,
8892130,3,A,,
8892130,3,B,,
8892130,4,A,,
8892130,4,B,,
8892217,1,A,,
8892217,1,B,,
8892217,2,A,,
8892217,2,B,,
8892217,3,A,,
8892217,3,B,,
8892217,4,A,,
8892217,4,B,,
8892242,1,A,,
8892242,1,B,,
8892242,2,A,,
8892242,2,B,,
8892242,3,A,,
8892242,3,B,,
8892242,4,A,,
8892242,4,B,,
8892305,1,A,,
8892305,1,B,,
8892305,2,A,,
8892305,2,B,,
8892305,3,A,,
8892305,3,B,,
8892305,4,A,,
8892305,4,B,,
8892346,1,A,,
8892346,1,B,,
8892346,2,A,,
8892346,2,B,,
8892346,3,A,,
8892346,3,B,,
8892346,4,A,,
8892346,4,B,,
8892351,1,A,,
8892351,1,B,,
8892351,1,C,,
8892351,1,D,,
8892351,1,E,,
8892351,2,A,,
8892351,2,B,,
8892351,2,C,,
8892351,2,D,,
8892351,2,E,,
8892351,3,A,,
8892351,3,B,,
8892351,3,C,,
8892351,3,D,,
8892351,3,E,,
8892351,4,A,,
8892351,4,B,,
8892351,4,C,,
8892351,4,D,,
8892351,4,E,,
8892351,5,A,,
8892351,5,B,,
8892351,5,C,,
8892351,5,D,,
8892351,5,E,,
8892351,6,A,,
8892351,6,B,,
8892351,6,C,,
8892351,6,D,,
8892351,6,E,,
8892351,7,A,,
8892351,7,B,,
8892351,7,C,,
8892351,7,D,,
8892351,7,E,,
8892351,8,A,,
8892351,8,B,,
8892351,8,C,,
8892351,8,D,,
8892351,8,E,,
8892356,1,A,,
8892356,1,B,,
8892356,1,C,,
8892356,1,D,,
8892356,1,E,,
8892356,2,A,,
8892356,2,B,,
8892356,2,C,,
8892356,2,D,,
8892356,2,E,,
8892356,3,A,,
8892356,3,B,,
8892356,3,C,,
8892356,3,D,,
8892356,3,E,,
8892356,4,A,,
8892356,4,B,,
8892356,4,C,,
8892356,4,D,,
8892356,4,E,,
8892356,5,A,,
8892356,5,B,,
8892356,5,C,,
8892356,5,D,,
8892356,5,E,,
8892356,6,A,,
8892356,6,B,,
8892356,6,C,,
8892356,6,D,,
8892356,6,E,,
8892356,7,A,,
8892356,7,B,,
8892356,7,C,,
8892356,7,D,,
8892356,7,E,,
8892356,8,A,,
8892356,8,B,,
8892356,8,C,,
8892356,8,D,,
8892356,8,E,,
